user_boost,order_weight,item_weight,candidate_boost,avg_recall,median_recall,std_recall,time_seconds
8.0,0.7,0.30000000000000004,2.0,0.9277486910994763,1.0,0.17127382223839888,10.423380613327026
8.0,0.3,0.7,2.0,0.9267015706806283,1.0,0.1714401883021371,10.937598943710327
8.0,0.3,0.7,1.5,0.9267015706806283,1.0,0.1714401883021371,10.585549592971802
8.0,0.5,0.5,2.0,0.9267015706806283,1.0,0.1714401883021371,11.215821981430054
6.0,0.3,0.7,2.0,0.9256544502617802,1.0,0.1728161143851751,10.630868911743164
6.0,0.5,0.5,2.0,0.924607329842932,1.0,0.17175328631466116,10.888341903686523
6.0,0.7,0.30000000000000004,2.0,0.924607329842932,1.0,0.17175328631466116,11.084100008010864
6.0,0.7,0.30000000000000004,1.5,0.924607329842932,1.0,0.17175328631466116,10.719276666641235
4.0,0.7,0.30000000000000004,2.0,0.924607329842932,1.0,0.1753731332402537,10.753726482391357
8.0,0.5,0.5,1.3,0.924607329842932,1.0,0.17175328631466116,10.803298950195312
8.0,0.5,0.5,1.5,0.924607329842932,1.0,0.17175328631466116,10.81480598449707
8.0,0.7,0.30000000000000004,1.5,0.924607329842932,1.0,0.17175328631466116,10.628297328948975
8.0,0.3,0.7,1.3,0.924607329842932,1.0,0.17417487676173193,10.897881984710693
8.0,0.7,0.30000000000000004,1.3,0.924607329842932,1.0,0.17175328631466116,10.478855609893799
6.0,0.5,0.5,1.5,0.9235602094240838,1.0,0.1731140570298016,10.882774829864502
4.0,0.5,0.5,2.0,0.9225130890052355,1.0,0.17684248792494475,10.696779489517212
6.0,0.7,0.30000000000000004,1.3,0.9214659685863874,1.0,0.1757852915836557,10.852787256240845
4.0,0.3,0.7,2.0,0.9193717277486912,1.0,0.17721411026233908,11.221670150756836
4.0,0.7,0.30000000000000004,1.5,0.919371727748691,1.0,0.17839195341609929,10.850440979003906
6.0,0.3,0.7,1.5,0.919371727748691,1.0,0.1772141102623391,10.969204902648926
6.0,0.5,0.5,1.3,0.919371727748691,1.0,0.1772141102623391,10.777455806732178
4.0,0.5,0.5,1.5,0.9172774869109948,1.0,0.1797756643518828,10.932783842086792
6.0,0.3,0.7,1.3,0.9162303664921466,1.0,0.17987322271714323,10.936698198318481
4.0,0.7,0.30000000000000004,1.3,0.9151832460732984,1.0,0.17996463565322515,10.885425806045532
4.0,0.5,0.5,1.3,0.9109947643979057,1.0,0.18257768904779548,11.5492844581604
4.0,0.3,0.7,1.5,0.9089005235602093,1.0,0.1803845384933936,11.30949091911316
4.0,0.3,0.7,1.3,0.899476439790576,1.0,0.18743163003362884,11.541183948516846
