,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
66,frozenset({15669760}),frozenset({15669821}),0.11946050096339114,0.09171483622350675,0.036608863198458574,0.3064516129032258,3.341352670100298,1.0,0.025652562917423086,1.3096204687009902,0.7957848669814579,0.20971302428256067,0.23641999808395037,0.352805638384386
67,frozenset({15669821}),frozenset({15669760}),0.09171483622350675,0.11946050096339114,0.036608863198458574,0.3991596638655462,3.3413526701002976,1.0,0.025652562917423086,1.4655132921028873,0.7714757832213116,0.20971302428256067,0.3176452200136071,0.352805638384386
70,frozenset({15669777}),frozenset({15669869}),0.11136801541425818,0.12678227360308286,0.036608863198458574,0.32871972318339104,2.5927893059601814,1.0,0.022489372997575745,1.3008243449933459,0.6913041493586525,0.18164435946462715,0.23125669976209165,0.30873676128774413
71,frozenset({15669869}),frozenset({15669777}),0.12678227360308286,0.11136801541425818,0.036608863198458574,0.2887537993920972,2.592789305960181,1.0,0.022489372997575745,1.2494013800372181,0.703507223486784,0.18164435946462715,0.19961669966283277,0.30873676128774413
41,frozenset({15668460}),frozenset({15668458}),0.18458574181117535,0.07784200385356455,0.035452793834296725,0.19206680584551147,2.4673928770747637,1.0,0.021084269808918144,1.1413790184861565,0.7293396071340511,0.1561969439728353,0.12386684545303062,0.32375617519998345
40,frozenset({15668458}),frozenset({15668460}),0.07784200385356455,0.18458574181117535,0.035452793834296725,0.45544554455445546,2.4673928770747637,1.0,0.021084269808918144,1.497397092310387,0.6449154236087138,0.1561969439728353,0.33217447453630056,0.32375617519998345
5,frozenset({15668467}),frozenset({15668378}),0.13448940269749518,0.13641618497109825,0.03815028901734104,0.28366762177650434,2.0794279053955615,1.0,0.01980375778230702,1.205563005780347,0.5997598424134489,0.16390728476821195,0.17051203860331496,0.28166431936282843
4,frozenset({15668378}),frozenset({15668467}),0.13641618497109825,0.13448940269749518,0.03815028901734104,0.2796610169491526,2.0794279053955615,1.0,0.01980375778230702,1.2015323586081832,0.601097994672292,0.16390728476821195,0.1677294474546086,0.28166431936282843
53,frozenset({15668462}),frozenset({15668467}),0.1252408477842004,0.13448940269749518,0.03468208092485549,0.2769230769230769,2.059069869958122,1.0,0.017838514113030467,1.1969827409502725,0.5879833578071464,0.15410958904109587,0.16456606616891564,0.26740136654176766
52,frozenset({15668467}),frozenset({15668462}),0.13448940269749518,0.1252408477842004,0.03468208092485549,0.25787965616045844,2.059069869958122,1.0,0.017838514113030467,1.1787295139896294,0.5942663500544177,0.15410958904109587,0.1516289461393787,0.26740136654176766
58,frozenset({15668688}),frozenset({15668465}),0.1857418111753372,0.12947976878612716,0.047784200385356454,0.2572614107883817,1.9868850029638412,1.0,0.023734393620457303,1.1720412051538736,0.6100025953009784,0.1786743515850144,0.1467876764036523,0.3131545149180004
